Ux,Uy,Uz,CO2,H2O,T_SONIC
-2.021013,-0.3865519,-0.3720236,606.9978,7.407198,24.24182
-1.826622,-0.3888314,-0.2869632,606.8779,7.464657,23.90594
-1.99983,-0.6623977,-0.01215974,607.3993,7.551851,23.76779
-2.08114,-0.3045914,-0.3949215,607.1437,7.546948,23.82089
-2.116259,-0.3623534,-0.478262,607.032,7.514425,23.84756
-2.012457,-0.4460806,-0.4943449,607.0665,7.573876,23.64224
-2.098404,-0.6013338,-0.2544445,607.1789,7.552722,23.8371
-2.212366,-0.9124639,-0.2550297,606.1541,7.379123,23.98535
-2.168941,-0.5446922,-0.2834828,606.9774,7.431771,24.13162
-1.878305,-0.8044721,-0.016338,607.0015,7.511357,23.72943
-1.821309,-0.4781103,-0.04476026,607.3298,7.532504,23.86121
-2.128084,-0.501072,-0.2249479,606.8458,7.431405,24.04108
-2.289062,-0.4191722,-0.6115257,606.7951,7.400884,24.16803
-2.260735,-0.4046009,-0.3840203,606.2397,7.322511,24.35526
-2.301731,-0.6920745,-0.3530203,606.1741,7.34069,24.28421
-2.381944,-0.4779055,-0.3850988,606.0627,7.316653,24.32083
-2.332907,-0.4709285,-0.1571257,606.9454,7.374763,24.18213
-2.356269,-0.806743,-0.000846998,606.8743,7.414084,24.07108
-2.24631,-0.665957,-0.02938384,606.9099,7.365744,24.23306
-2.216803,-0.5031031,-0.03969318,607.124,7.430771,24.15063
-2.19813,-0.6234992,0.06445535,606.8743,7.456104,23.92163
-1.92089,-0.4520285,-0.08277763,606.3792,7.356137,24.28134
-1.718632,-0.3276697,-0.1812698,606.3879,7.373785,24.20044
